id,text,category_tag,target_difficulty,support_response_reference
case_617479_617478,"Hello. I dont want to login via FB anymore, but create a separate Spotify account. Can you please help me with moving my music (lists and downloads) across. Thank you",security_risk,hard,Hi Ashwani! Can you DM us your account's email address? We'll take a look backstage /MC https://t.co/ldFdZRiNAt
case_581514_581513,"hi. can you help me? i cant login to my account. it says ""an occured error. please try again later""",security_risk,hard,"Hey there, that's no fun! Could you DM us your account's email address or username? We'll see what we can suggest /JA https://t.co/ldFdZRiNAt"
case_122100_122099,I think someone’s hacked my account and changed the email address registered so I can’t reset password. What do I need to do?,security_risk,hard,"Hey Ally, we're here to help. Could you DM us your account's username and email address? We'll take a look for you /BX https://t.co/ldFdZRiNAt"
case_524359_524358,"Hey @user my student account reverted to a regular premium account. I reauthorized as a student, now I can't access Hulu. Help.",security_risk,hard,Hey Lougi! Could you send us a DM with your account's email address or username? We'll take a look backstage /LO https://t.co/ldFdZR1cbT
case_2833795_2833794,I am locked Out of my Facebook account and can't log in to my spotify account. Can someone please help me cancel my subscription And apply for a new account with a new email?,security_risk,hard,Hey there! Could you send us a DM with your account's email address? We'll take a look backstage /MA https://t.co/ldFdZRiNAt
case_2975083_2975082,I can't log into my account and I need to cancel my account. All I have is my credit card number HELP!!!!,financial_dispute,hard,Hi there! Can you DM us any email addresses or usernames you might've used for your account? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt
case_566293_566292,I created an account with my old Facebook account that was set up with my old number. I added premium as well however I want to cancel it & I cannot as I can’t sign into the account anymore. Can you please help me cancel it?,financial_dispute,hard,Hi there! Can you DM us your account's email address or username? We'll take a look backstage /NQ https://t.co/ldFdZRiNAt
case_79461_569636,Could I cancel my current subscription and then take out this offer? 😉,financial_dispute,hard,"Hi there, the cavalry's here! Right now, this offer’s for new subscribers only. We’d recommend checking out our new Spotify Yearly discount - 12 months for the price of 10: https://t.co/LHTUu8url7. Hope this helps /AK"
case_2942726_2942724,Hey ! I get my money back ! But I have another problem :/ I wanted to pay again for Premium with student discount but I can't ! It is written that your card couldn't be used .What should I do ? I'll be grateful for answer ;),financial_dispute,hard,Hi there! Can you DM us your account's username or email address? We'll take a look under the hood /JM https://t.co/ldFdZRiNAt
case_2941503_2941502,"I'm being charged for Premium on my phone bill but I don't have any account details to login and cancel, and I also can't use your contact form without login details. Help, stuck in payment loop I can't get out of!",financial_dispute,hard,Hey Jo! We'd love to lend a hand. Could you DM us the possible email address or username you may used to create your Spotify account? We'll do some investigating /JT https://t.co/ldFdZRiNAt
case_662930_662929,I permanently deleted my Facebook which is linked to my Spotify account. I want to cancel my subscription but can't find a way to log in without using my facebook details. Help,financial_dispute,hard,Hey there! Can you DM us your account's email address? We'll take a look /RB https://t.co/ldFdZRiNAt
case_572681_572679,really can’t remember the username or email address I used to set up my account and the free trial ends soon 😭😭😭 how do I cancel/delete the account pls,financial_dispute,hard,Hey there! Can you DM us any usernames or email addresses you might've used? We'll take a look backstage /AP https://t.co/ldFdZRiNAt
case_149372_149371,how do you cancel. Oh Spotify tells you how but doesnt supply an easy way. #rippedoffbyspotify,financial_dispute,hard,Hey there! Can you DM us your account's email address or username? We'll take a look backstage /TJ https://t.co/ldFdZRiNAt
case_93879_93878,"Hi, please help. I have recently renewed my mobile contract and they have offered me 24 months Spotify premium to sweeten the deal. I'm already a premium subscriber so what's my best option going fwd. Cancel and start from scratch? Tia",financial_dispute,hard,"Hi Scott, help's here! Can you DM us your account's email address? We'll take a look backstage /DV https://t.co/ldFdZRiNAt"
case_535329_535328,I might cancel my premium I can’t access my account I got a new one I need to delete it if it’s not accable not happy no one has helped me I forgot my id pass word,financial_dispute,hard,Let's not throw in the towel just yet. We'd love to help out. Can you send us a DM? /MU https://t.co/ldFdZRiNAt
case_704838_704837,"cancelled my facebook account which was linked to my spotify account; If I can no longer access it, how can I cancel my spotify account to create a new one?",financial_dispute,hard,"Hey Carlos, help's arrived! Can you shoot us a DM with your account's username and email address? We'll check things out for you 🔍 /AV https://t.co/ldFdZRiNAt"
case_2850060_2850059,I need to find out the email associated to my account as I only know the username so I can cancel my subscription,financial_dispute,hard,"Hi, we've just replied to your DM. We'll carry on chatting there /SY"
case_533552_533551,Hi @user I want to cancel an account but don't have access to the email anymore. Can you help please?,financial_dispute,hard,"Hey Laura! Sure, we'll help you out. Can you DM us more info including the account's username? /KT https://t.co/ldFdZR1cbT"
case_89564_89563,Why have I been charged twice for my subscription this month?,financial_dispute,hard,Hi Marc. That doesn't sound good. Can you DM us your account's email address or username? We'll take a look under the hood /XF https://t.co/ldFdZRiNAt
case_2842897_2842896,We need help. My brother paid his premium subscription using his globe prepaid. He has been charged twice but he's still on free mode. Can you help?,financial_dispute,hard,"Hey Trixie, we'd love to help! Can you DM us your brother's email address or username? We'll check things backstage /JP https://t.co/ldFdZRiNAt"
case_2919270_2919269,what's up with the app? https://t.co/Thc7mCGkHt,short_vague,ambiguous,"Hey, thanks for the report! We had a little hiccup earlier, but everything should be running just fine now /JS"
case_446900_446899,what's going on with spotify???????????????????????????? @user,short_vague,ambiguous,We've just sent you a DM 🙂 /KL
case_2915274_2915273,you might be broken,short_vague,ambiguous,"Hey! We had a little hiccup backstage, but it should be working now. We're here if you need us /CP"
case_590157_2825195,Why i can't pay??,short_vague,ambiguous,"Hey, we've come to the rescue! Could you DM us your account's username or email address? We'll check behind the scenes /RE https://t.co/ldFdZRiNAt"
case_500978_2919314,Not working in Barry,short_vague,ambiguous,"Hey, thanks for the report! We had a little hiccup earlier, but everything should be running just fine now /JS"
case_173614_173618,What do I do?? https://t.co/knTHvjU6hW,short_vague,ambiguous,We’re working hard to get every university on board. So keep checking our website for updates! You can also take advantage of a discounted subscription with Premium for Family. We have more info here: https://t.co/bFMc5QSovM /LO
case_2920728_2920726,advising not working at moment :(,short_vague,ambiguous,"Hi there, thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS"
case_2917939_2917938,What's wrong with @user ARGH https://t.co/FUfu34Tai2,short_vague,ambiguous,Hey there! Everything should be running smoothly now. Let us know if this is still happening /CE
case_564493_564492,I need help with my account,short_vague,ambiguous,Hi! We've just replied to your DM. Let's carry on chatting there /AP
case_67703_2912362,All clear of what?,short_vague,ambiguous,Hey George! We've had a little hiccup earlier but everything should be running just fine now /SJ
case_620389_620393,No that didn’t help.,short_vague,ambiguous,"Just to check, what device, iOS, and Spotify version are you using? We'll see what we can suggest /JE"
case_1630498_1630497,please help me with my account!!!,short_vague,ambiguous,Hi! We've just sent you a bit more info over DM. We'll carry on helping out there /RA
case_669339_669337,why are my songs skipping randomly,short_vague,ambiguous,"Hey there! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /AR"
case_2912530_2912529,why aren’t you working😭,short_vague,ambiguous,Hey Sarah! We’re looking into this as we tweet. Thanks for bearing with us /CP
case_129759_129758,please fix this,short_vague,ambiguous,"Hey Matt! Fingers crossed we'll be able to have it soon, but there's info about Spotify content here: https://t.co/0i8GpimuDa /AR"
case_171135_171136,What's the best one?,short_vague,ambiguous,"We're afraid we don't have info about that right now. You could probably check the ratings and comments of the other users to help you decide which one you're going to get. If there's anything else, just let us know /LO"
case_64365_64364,what is this 😂 #StrangerThings https://t.co/1qAPa8ijve,short_vague,ambiguous,Hey Abby! The Stranger Things Mode is an easter egg feature that adds some visual effects to your app. Hope this info helps /GK
case_2815058_2815057,"What is this, @user ? https://t.co/TygZ3xwxVt",short_vague,ambiguous,Hey! Users who stream from one of the 15 Stranger Things playlists/albums will get to experience what it's like to be in the Upside Down. You can start with finding your character match here: https://t.co/OjXSqZHtPg. We're here for you if there's anything else /YM
case_500983_2919256,Not working in Brasil :/,short_vague,ambiguous,"Hi Bruno, thanks for bearing with us. Spotify should be working perfectly again! /CE"
case_2821_677078,Hello kakarenew ko lNgkahapon why sooolate???,short_vague,ambiguous,Hey there! We're afraid we don't have Filipino support for now. We hope you don't mind if we reply in English. Can you send us your account's email address or username via DM? We'll take a look backstage /AY https://t.co/ldFdZRiNAt
case_488793_488795,"One reason: ""Your Spotify app needs updating."" App updates require deleting all offline files? So I should just never update your app?",multi_intent,ambiguous,"If you do need to update Spotify, we recommend connecting to WiFi /I"
case_2920672_2920671,"Spotify is down in Brazil. There's no error message, but i don't be able to play any music",multi_intent,ambiguous,Hey Pedro! Everything should be running smoothly now. Let us know if this is still happening /CE
case_2910961_2910963,In the web player I’ve been getting a gateway 504 error message. When the page does load none of the music will play. I’m in chrome on Linux. On my iPhone none of the search function works I get a blank page for the results.,multi_intent,ambiguous,"Thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS"
case_462670_462671,"A restart seems to have fixed the black screen issue. However it still switches to offline mode between sessions (on both wifi and data,).",multi_intent,ambiguous,"Thanks for letting us know. It's not ideal, but can you try reinstalling the app? Just follow the steps at https://t.co/PDA2aKzC6Q. Let us know if that helps /CE"
case_450079_450081,Thanks for getting bck. Yes its the most recent available vrsn via Google play. Previous also did the same for short period. But seem to resolve. With recent update its bck with vengeance. Have also de/re-installed the app. No avail.,multi_intent,ambiguous,"Got it. Can you try logging out, restarting your device, then logging back in? Let us know how everything plays out /JE"
case_558609_558607,"hey just done the new android system update on my obe plus 3 and am having problems where the sound goes down then up when I play a song, close the app or get any notifications. Any fix?",multi_intent,ambiguous,"Hey David, we're here to help! Does logging out > restarting the device > logging back in seem to help? Keep us posted /TB"
case_667906_667905,"I'm locked out of my app. Everytime I try to login I get an Error Message - 'You are current set to offline, please go online to login' if I can't get in I can't change the settings",multi_intent,ambiguous,Hey Steve! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt
case_2577771_2577773,"well it has caused the screen to freeze before (the next ad wouldn’t play and I’d have to re start the app) but it’s just very repetitive, I get the ad quite a lot in comparison to other ad’s, and i am not a child nor parent so won’t be buying the cd aha x",multi_intent,ambiguous,"Hmm. Can you let us know your username, device, OS and Spotify versions? We'll see what we can suggest /LS"
case_128864_128863,"I can't log in to my account cos my account was set to offline, I click to go online while trying to log in and it just stays on a black screen?",multi_intent,ambiguous,"Hey! Help's here. Can you let us know what device, operating system, and Spotify version you're rocking? We'll see what we can suggest /RA"
case_667906_667907,"I'm locked out of my app. Everytime I try to login I get an Error Message - 'You are current set to offline, please go online to login' if I can't get in I can't change the settings",multi_intent,ambiguous,"Thanks! Are you unable to login to the app when you're on 3G/4G, WiFi, or both? Can you also tell us the make/model of the device you're using, along with its operating system and Spotify version? /KB"
case_2942721_2942723,"No, I was saying that I noticed that it's now a feature when I play my Discover list and just wanted to let you know I appreciate it!",playback,normal,"Oops, apologies for the oversight. We're glad that you liked it! Give us a shout if you ever need us again. We'd be... https://t.co/LgAM6ky9Vv 💚 /JM"
case_166680_166679,"why is my desktop player always going ""can't play the current song"" after 6 seconds on ANY track. Annoying.",playback,normal,Hey there! That doesn't sound good. Can you DM us the OS and Spotify version you're using? Your account's username and email address would also be super helpful. We'll see what we can suggest /WP https://t.co/ldFdZRiNAt
case_1630325_1630324,"I want @user to push boundaries and build a watch and wireless headphones. If you build it, they will come! (coming from a lifelong @user user)",playback,normal,"Hey Jill! Thanks for the request. We're afraid we don't have any info to share on this right now, but we'll be sure to pass your feedback on to the right folks. If there's anything else that we can help you with, just give us a shout /CH"
case_2912476_2912478,"Great customer service!👍 if there’s any way you can let your product teams know the new play view, such as on Spotify’s ‘mint’ playlist, is awesome... please add the option for this across the app! 😉 https://t.co/IwnieK03Ve",playback,normal,Thanks for the feedback – we appreciate it! We'll let the right team know it's something you'd like to see /LO
case_100149_100148,des soucis avec la connection @user ? Impossible de me reconnecter à ma Play:1 Cc @user @user,playback,normal,"Hey! We can help out in English via Twitter, but we also have French support via email at https://t.co/ZgU70TbP8M /QI"
case_102208_102207,"hey there, so i'm playing a playlist and then denzel curry - ultimate comes on and plays, but the song keeps ""playing"" after the song is over. the song was supposed to be over at 3:09 but it's now at 25:15 with no sound or anything and i can't pause or skip. pls hlp",playback,normal,Hey there! Could you let us know what device/OS you're using? We'll see what we can suggest /DF
case_2963335_2963334,"every time I open spotify web player in chrome, I can't play anything. I click the play button on a playlist or song, and no action is taken. I have to close chrome and reopen it before I am able to play music. What's up with that?",playback,normal,"Hey Amber, help's here! Could you try the web player on a incognito window? Additionally, clearing your cache and cookies might do the trick. Let us know how it goes /ZO"
case_168128_168127,"I could be listening to music on Spotify and then it just out of the blue stops, can you please try and fix this problem? It happens when I go into something other than Spotify",playback,normal,Hey there! Could you let us know what device/OS you're using? We'll see what we can suggest /DF
case_1830232_1830231,"having a hard time troubleshooting - every time I️ play an album, Spotify inserts other songs not on the album that I️ cannot skip (sometimes before a song from the album even plays!). Can I️ turn this off...? #Spotify #SpotifyTroubleshooting",playback,normal,Hey there! Could you tell us what device/OS you're using? Keep us posted /DF
case_559967_559965,What's up with the web player? I haven't been able to play anything for a couple of days on either Opera or Firefox...,playback,normal,"Hi there. Can you let us know what device and operating system you're using? Also, are you getting any specific error messages when trying to play a track? /LM"
case_514134_514132,it isn't 1990 and you're not playing cd's. STOP SKIPPING!,playback,normal,"Hey Jessika, that doesn’t sound fun! Could you DM us your account’s email address and username? We’ll take a look under the hood /TI https://t.co/ldFdZRiNAt"
case_160530_160531,why does my keyboard play/pause/next/back never work anymore with your app? Coworkers have the same issues so I know it's not isolated to my hardware.,playback,normal,"Thanks. Could you give our test account a shot with the username ""cs_test_5"" and password sezafa3tuq (case sensitive)? We'll keep an eye out for your update /PK"
case_603583_603582,"hi there, I'm using google assistant to play my spotify. when I ask it to shuffle a playlist, google finds the correct playlist and acknowledges the command to shuffle, but spotify then plays the list unshuffled. Any fix for this?",playback,normal,Hey there! Could you tell us what device/OS you're using? Keep us posted /DF
case_551299_551298,"""can't play the current song"" every song",playback,normal,Hey Josh! That doesn't sound fun. Could you DM us your account's username or email address? We'll take a look backstage /LP https://t.co/ldFdZRiNAt
case_2807547_2807544,"why is it that when the app is playing on my av receiver and has been minimised on my HTC m9, the moment I go back to it it cancels playback on my receiver and stops it on phone. It's borderline unusable.",playback,normal,Hi James! Help's here. Can you let us know the Android and Spotify versions you're rocking? We'll see what we can suggest /DD
case_166638_166636,"the ""Time Capsule"" playlist you made for me is great but it's ALL songs on my main playlist that just never come up on shuffle. Why do the same 20-25 songs ALWAYS play? @user",playback,normal,"Hey there! Thanks for the feedback. Your Time Capsule is made of personalised content uniquely created based on your previous listening patterns. Just to check, are you experiencing issues with the Shuffle feature on all of your playlists? /PC"
case_590132_590130,do you have any trial offers to see how the family pack works? Currently with @user but the family profiles don’t play through @user so it’s a waste of money for me.,playback,normal,"Hey Tammy! We don't have a trial offer for the Family plan, but if you haven't tried Premium in the past, you can try it out for free here: https://t.co/08kG2GBNp5 /DB"
case_172453_172451,whenever I get a Snapchat or open up Snapchat my music from Spotify stops ☹️ can you help me out with this??,playback,normal,Hey there! Could you let us know the device/OS you're using? We'll see what we can suggest /DF
case_160560_160558,Anyone else having issues with @user not playing any sound right now?,playback,normal,"Hey there! That's not cool. Can you let us know your device, OS and Spotify versions? We'll take a look at what's happening /LS"
case_576784_576783,I should be able to control @user volume on my @user @user Sport Watch when playing through my @user bluetooth boom box. #SoftwareUpdateNeeded Please. https://t.co/MnlVeQAnD6,playback,normal,"We hear you loud and clear, Jeff! We can’t make any promises but we’ll pass your feedback onto the right folks /DR"
case_631985_631984,I can't log in in my account. It's says that I'm offline but I'm certainly not aince i can tweet you and do other stuffs that requires wlan!!,playback,normal,Hey there! Help's here. Can you DM us your account's email address or username? We'll take a look backstage /PB https://t.co/ldFdZRiNAt
case_560992_560991,hello! I have bought my 3 kids Bluetooth speakers for Xmas and would like us all to be able to use Spotify separately at the same time. Is this possible? I already have an account just for me.,playback,normal,"Hi Jayne! Right now, it's not possible to listen to music on different devices at the same time using 1 account. With Premium for Family, you can do that on separate accounts for one discounted price only. For more info, click here: https://t.co/pApw1XiBDY /AU"
case_677089_677087,"Hi @user why can't this option just add the whole album to the end of the current queue like it suggests? Why does it insert the whole album after the current track? Wouldn't this make more sense as a ""Play Next"" option? https://t.co/GjPPxGilfc",playback,normal,"Hi there! We understand. If you're on the desktop app, you can change the order of the queue. Here's our handy guide: https://t.co/G7PK3sVrTN. Hope this helps /MU"
case_492392_492391,"You know what would be really useful? On android, being able to add a button to my home screen (Like you can add a route w/ google maps) that's basically ""play whatever is next in queue"". It's currently 3-4 button presses, and annoying UX.",playback,normal,"Hi there! We can see how that’d be handy. Thanks for taking the time to reach out – your feedback's been noted. If there's anything else, just give us a shout /AU"
case_2834985_2834983,Two questions: do you have to have premium to turn off shuffle play? And can one subscription work on different devices i.e share,playback,normal,"Hey Elle, we'd love to answer your questions. First, on-demand playback on mobile is a Premium-only feature. Next, you can enjoy your Premium features on all device your account is logged in to. You can also check our support site at https://t.co/QPo40O0WMX for more info /JP"
case_89539_89540,"iPhone X, running iOS 11.2, listening over wired headphones",playback,normal,"Thanks for the info. Just to check, are you listening to songs downloaded for offline listening, or are you just streaming your tunes? /LM"
case_163736_163734,the ios beta update screws with spotify. my music stops any time i get a notification and wont play unless i reopen the app. please look into this,playback,normal,"Hey Vicky, the cavalry's here! Can you provide which Spotify version you're currently using? We'll take a closer look 🔍 /JJ"
case_507419_507418,Just a small thing but when playing a song and then I play that song's radio which has that song as the first in the list then Spotify should just continue playing the song instead of starting from the beginning. Hope that makes sense.,playback,normal,"Hey James, we can see how that’d be useful! We’d recommend suggesting it in our Community where you can get support from other fans: https://t.co/D6JsbrPT3P /TB"
case_573783_573785,"HTC 10 unlocked, android 7. I think it was happening when it was transitioning from bad wifi to cell data being off but can't recall when I pressed play. Why can't I load local data then update later? I was walking away from my home at the time.",playback,normal,"Thanks for letting us know. Can you try logging out, restarting your device, then logging back in? Let us know if that helps /QI"
case_123465_123463,Electronic 80's (Ministry Of Sound) by Various Artists https://t.co/wndZGh7j2i any reason why I can find this typing it in the Google browser but cannot find it in the Android app search @user @user @user. How many other albums are missing via the search?,playback,normal,Hey Chris! Licensing agreements can affect music availability. We have more info here: https://t.co/VMrgnGpB4G /NS
case_2834988_2834987,"The acoustic version of ""Hands Down"" by Dashboard Confessional won't play for me on @user. This is a travesty!",playback,normal,"Hey Mariano, help's here! Can you send us the Song Link? Just tap the three dots > Share > Copy Link. We'll take a look backstage /RS"
case_2913925_2913924,can’t play anything that isn’t downloaded 😤😤😤😤😤 iPhone 7 with the latest app update,playback,normal,Hey! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /CP
case_1822610_1822609,"Why does @user seem to think that when I put in and hit shuffle play on something specific that I want to hear ""suggested songs""? If I wanted something suggested because the artist has other stuff then I would go to the artists other stuff. Get your crap together @user",playback,normal,"Hey Faith, help's here! Could you send us a DM with your account's email address? We'll take a look backstage /CH https://t.co/ldFdZRiNAt"
case_543134_543133,why can’t I play “People are crazy” by @user ? I’m not mad. Just disappointed.,playback,normal,Hey there! Could you send us a screenshot of the issue you're having? We'll see what we can suggest /DF
case_688565_688564,"How do I get my smart speakers (@user home, @user or @user #cortana) to NOT default to playing the single on @user but the whole album. Happens a ton. Try asking to play ""the album Losing Sleep by Chris Young"" always plays the single.",playback,normal,"Hi Phil! We're afraid that if the single has the name as the album, it'll default to playing just the song. For now, we'd suggest placing the album tracks in a separate playlist with a unique title. Hope this helps /MU"
case_158944_158943,"Selamat malam @user, saya mengalami kendala di pemutar web saya yg tdk bs pause dan play lagu baru (spt di foto) dan sudah saya coba berbagai cara tp ttp tdk bisa diperbaiki kenapa ya? Bagaimana memperbaikinya? Terima kasih. https://t.co/Aixjo073mn",playback,normal,"Hi Elmi! We can help out in English via Twitter, but we also have Indonesian support via email at https://t.co/ZgU70TbP8M /NH"
case_2901240_2901238,"why tf does your app play ‘suggested music’ instead of the actual music I want, even when I’ve turned off auto play?",playback,normal,"Hey there! To reduce the number of Suggested Tracks you get, try adding more artists into your playlists. Let us know how that works for you /TF"
case_2920755_2920754,has stopped working and now I’m not sure what to do... I can’t stand next to my stereo with headphones plugged into it until Spotify decides to come back 🙄😩 help.,playback,normal,"Hi there, thanks for bearing with us! We had a little hiccup earlier, but everything should be running just fine now /JS"
case_694632_694630,"- hi, My web player doesn't play anything on my work PC, yet streams fine from my mobile devices It just doesnt play even though it logs it on the left. Pls help!",playback,normal,"Hey Dean, that doesn't sound right! Does accessing https://t.co/aT5o0wcN4V using a private or incognito window help at all? /JE"
case_2818873_2818872,"If I am shuffling one artist, the second I Bluetooth to my car, @user starts to play ""suggested songs""... What is it with this bullshit?",playback,normal,Hi there! Can you DM us your account's email address or username? We'll see what we can suggest /NQ https://t.co/ldFdZR1cbT
case_2865490_2865489,Why does my discover weekly update on Monday’s on desktop but not on my phone @user ?????? 😩😩😩,crash_technical,normal,Hey! The cavalry's here. Can you DM us your account's username or email address? We'll take a look under the hood /JS https://t.co/ldFdZRiNAt
case_499228_499226,how do you release a new update for your shitty app and in turn undownload ALL the songs that I've already downloaded? I swear you suck in every way possible,crash_technical,normal,"Hey there, we understand your frustration. Does logging out > restarting the device > logging back in help? Keep us posted /JY"
case_2912398_2912397,I don't pay monthly for your servers to crash.,crash_technical,normal,"Hey! We're sorry you feel that way. Our best tech folks are on the case as we speak. Hopefully, we'll have a fix soon /CP"
case_566286_566285,please help I can’t log in to my Spotify error 404,crash_technical,normal,Hey Sarah! The cavalry's here. Can you DM us your account's email address? We'll take a look under the hood /KB https://t.co/ldFdZRiNAt
case_592805_592808,"Just check your support forum for ""api-ms-win-core-processthreads"". Your last automatic update (that still cannot be disabled from settings) killed all installs on Win7 and you cannot even rollout a fix automatically because those installs don't run anymore.",crash_technical,normal,Thanks for the info. Can you try the steps here for us: https://t.co/PDA2aKzC6Q? They should help with this /PB
case_149349_149348,Dear @user sometimes when I'm scrolling twitter my music pauses itself and then when I click play it plays super sped up . Is this a bug or am I accidentally clicking something ? The app is running in the background so I'm not sure it's a user error,crash_technical,normal,"Hey Daniel, help's here! Can you let us know the device, operating system, and Spotify version you're using? We'll see what we can suggest /GK"
case_2855921_2855919,Very strange @user bug. The background behind the username widens with every song downloaded 🤔🤔 https://t.co/fDGsqLBmCb,crash_technical,normal,"Hey Dakota, that's odd! Can you let us know your device, as well as the iOS and Spotify versions? We'll see what we can suggest /JP"
case_2844595_2844594,"My email won't update on Spotify, and I submitted a support ticket via the Contact Us form, but it said you'll email me back to my old email that I can't access. Can I email __email__ directly?",crash_technical,normal,"Hey Brian! Yes - you can email them, but we can also help here. Can you send us your account's email address or username via DM? We'll take a look /GT https://t.co/ldFdZRiNAt"
case_666363_666362,why can't I update my premium plan...,crash_technical,normal,Hi there! We've just sent a DM your way. Let's carry on chatting there /FR
case_147388_147387,just run the latest update as prompted by my Marantz wi fi player and now Spotify is not an option on my player - what's happened?,crash_technical,normal,Hey Leslea! We've just sent you a DM /DR
case_123477_123479,Nope. No crash. Just the same 3 ads on repeat.,crash_technical,normal,"Thanks for confirming! Just to check, did you definitely watch the video ad that grants you 30 minutes ad-free listening in full after hearing the offer /RB"
case_1049684_1049683,"There are no error messages the email invite says click on the link, then enter your code and press redeem, but the only screen that comes up is the normal log on screen",crash_technical,normal,"Hmm. Can you DM us your account's email address, as well as those for the ones you're trying to invite? We'll take a look backstage /QI https://t.co/ldFdZRiNAt"
case_511820_511821,Done that and it's still coming up with the same error message,crash_technical,normal,"Thanks for trying it out. Our friends over @AskPlayStation should be able to help with this. They can help unlink your PSN from the Spotify account that's associated with it. For anything else, just give us a shout /GS"
case_622999_622998,"Hey I work at starbucks, but for some reason I cant get my free spotify premium, it always gives me an error",crash_technical,normal,"Hey there! As a Starbucks Partner, you can find out how to start or manage your subscription by heading to the Starbucks Partner Hub or Retail Portal. You can also call the PCC Center on 1866-504-7368. Let us know if you need help with anything else /BP"
case_486930_486928,I had to cancel the debit card on file for my premium account. How do I update the information for my new debit card so that my premium service is not interrupted? I do not have an email from you guys in my inbox.,crash_technical,normal,Hey Rob! Help's here. Can you DM us your account's email address? We'll take a look backstage /CP https://t.co/ldFdZRiNAt
case_592817_592815,How do i update my payment info? I don't see a way on the website.,crash_technical,normal,Hi Ray! You should be able to do so by following the steps at https://t.co/BShdiBtHc4 /DV
case_620428_620427,can you help me resolve error code 4 occurring while trying to make a family member join,crash_technical,normal,"Hey, help's here! Could you DM us the email addresses or usernames used on both accounts? We'll take a look backstage /CO"
case_2942689_2942688,Anyone else curious why @user has an update? I feel like it’s every week. I love the service but I never see any problems.,crash_technical,normal,Hey Travis! We roll out version updates for system cleanups and to make sure the app is optimized. Thanks for your feedback /JE
case_2917931_2917930,I keep getting this error each time I try to stream https://t.co/Ctjf90m4aj,crash_technical,normal,Hey Yolanda! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /FR
case_2916548_2916550,Cool. Do you ever compensate customers for their lost access during glitches and bug outs? Because I pay for premium access and am frustrated by your service several times every week.,crash_technical,normal,"Sorry to hear you feel that way. We're afraid we're unable to compensate you, but rest assured we'll pass on your feedback to the right team /JS"
case_2922441_2922439,Spotify seems to be down all over the world? Please update us. Thank you!,crash_technical,normal,Hey Ashlynn! Thanks for letting us know. Everything’s looking good on our end now - are you still having this issue? /FR
case_2929217_2929216,"Hi, guys, I meet a error 600 while invite my brother into family premium, how to fix it?",crash_technical,normal,Hey there! Can you send us a DM with your and your brother's accounts' email addresses or usernames? We'll take a look backstage /AR https://t.co/ldFdZRiNAt
