id,text,intent,expected_decision,difficulty,notes
case_110108_110107,about once a week my spotify deletes all downloaded music. Is this a known bug or something I'm doing wrong? It's obviously very frustrating...,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_539183_539182,did someone break something? im unable to listen to my music on pc or my phone i get error 3 + 4 and nothing is happeneing,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_110123_110122,If I have @user can I then update it when I become a student next year so that I pay the student rate?,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_106351_106350,"my wife is trying to accept my new Spotify Family plan and she's getting the error ""undefined - Oops something went wrong, please try again."" Please advise.",billing_subscription,auto_handle,normal,Standard billing/subscription FAQ: safe for automated guidance.
case_2972073_2972074,"I’m trying to connect my student premium account to my Hulu, and I keep getting this same error message. Super frustrating since Hulu access is one of the big reasons I subscribed. Help?? https://t.co/mUb1xjXpaf",other_support,escalate,ambiguous,Vague / under-specified query: impossible to safely automate without clarification.
case_166665_166664,Wtf kind of error message is this @user calm down. https://t.co/ar3X8nLCLv,other_support,escalate,normal,General customer inquiry (crash_technical): outside core functional intents.
case_2815936_2815935,"pls stop recommending me country music, Niall's album is folk-pop, there's a difference. 😭",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_564510_564509,"weird issue, I added a song to my saved songs playlist on my tablet but it doesn't appear on my phone? I found it on the release radar playlist, and I can see the song in the playlist on my tablet, but not my phone. Song is Fly Away - DJ Pauly Peach Remix. https://t.co/JIqoBO7UIN",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_677075_677074,when are you going to release @user new album!!!,library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_660580_660579,"Hey there @user // @user ! Can someone be sure to add P.O.V by dvsn to the next ""Are & Be"" playlist please? I think it will fit the vibe y'all are looking for just as well as ""Mood"" does. Thanks!",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_622885_683951,"It’s only when I try and play Come and Get Your Love by Redbone, the album artwork is Gloria G...and so is the song 🤷🏼‍♀️",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_1950473_1950471,Is it possible to play music ONLY from my library of local file songs I brought on the Google Home? I really want to know this before I sign up for a Spotify account,audio_playback_issue,auto_handle,normal,Audio playback bug: standard audio buffer/offline mode troubleshooting.
case_2872010_2872009,I wanna be a @user playlist creator. Hire me. Plz,library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_2816732_2816731,"Would love 2 hear #Worship Bridgette Hammers #BreakingFree added @user #Playlist ""Top Christian"" https://t.co/vtbLBLGmxF @user https://t.co/OcpIonFKJJ",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_74910_74909,Hai @user kenapa album 'Jalan Terus' dari @user tidak ada ya? Dari 'Pejantan Tangguh' langsung ke '507' https://t.co/lgqkDRWnoq,library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_2877431_2877430,.@user @user @user there needs to be an option to Mark artists that show up in your current radio station or playlist to remind you to check out more of their music later,library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_2908629_2908639,"I tried both of those things and nothing works. Restarted phone, logged out/back in, deleted/reinstalled app, reconnected to the WiFi and nothing fixed it. This also seems to be a problem multiple users are having",app_crash_technical,auto_handle,normal,App stability / crash issue: clean reinstall and cache clearance resolve issue.
case_1593808_1593807,"playing like 4 the same artist, from a playlist where I have probably 1000 songs and 100+ artists",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_2946138_2946136,"any closer to resolving the issue/suggestion regarding the ‘running’ feature? The playlist is the same all the time. There’s definitely a demand for it. Once a week, refreshing the tracks would be great.",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_658161_658160,"Dear @user when I make a playlist (even one with just 5 songs on it) I want to hear the songs on that playlist, not ""suggested songs.""",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_2894032_2894030,"Hello! The new Sect album, No Cure for Death, is not showing up on the band's Spotify page. What can I do to help resolve this?",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_645117_645116,"Hey can you get David Cassidy's eponymous 1990 album on Spotify? It's the only one that isn't there, I think.",library_playlist_content,auto_handle,normal,Content/playlist inquiry: standard recovery tool link or licensing explanation.
case_573743_573742,can you help. All of a suddden. Having all sorts of problems accessing my premium account. Music disappeared. Can't access premium. Can't reset password. Saying token invalid? Please can you resolve?,account_access_security,escalate,normal,Credential access issue: password reset / login failure.
